State,County,Total Unauthorized Population
Louisiana,"Jefferson-Plaquemines-St. Bernard Parishes, Louisiana"," 20,000 "
Virginia,"Loudoun County, Virginia"," 20,000 "
California,"Santa Cruz County, California"," 20,000 "
California,"Imperial County, California"," 19,000 "
Oregon,"Marion County, Oregon"," 18,000 "
Florida,"Polk County, Florida"," 18,000 "
Georgia,"Hall County, Georgia"," 18,000 "
California,"Madera County, California"," 18,000 "
Nebraska,"Douglas County, Nebraska"," 17,000 "
Georgia,"Clayton County, Georgia"," 17,000 "
North Carolina,"Forsyth County, North Carolina"," 17,000 "
Virginia,"Arlington County, Virginia"," 17,000 "
South Carolina,"Greenville County, South Carolina"," 17,000 "
Nevada,"Washoe County, Nevada"," 17,000 "
Maryland,"Baltimore City, Maryland"," 16,000 "
Minnesota,"Ramsey County, Minnesota"," 16,000 "
Washington,"Pierce County, Washington"," 16,000 "
New York,"Richmond County, New York"," 16,000 "
New Jersey,"Somerset County, New Jersey"," 16,000 "
California,"Marin County, California"," 15,000 "
Michigan,"Oakland County, Michigan"," 15,000 "
Hawaii,"Honolulu County, Hawaii"," 15,000 "
Missouri,"Jackson-Cass Counties, Missouri"," 15,000 "
Virginia,"Alexandria City, Virginia"," 15,000 "
Delaware,"New Castle County, Delaware"," 15,000 "
California,"Kings County, California"," 15,000 "
Pennsylvania,"Montgomery County, Pennsylvania"," 15,000 "
Florida,"Pinellas County, Florida"," 14,000 "
New Jersey,"Camden County, New Jersey"," 14,000 "
Pennsylvania,"Chester County, Pennsylvania"," 14,000 "
New York,"Rockland County, New York"," 14,000 "
New Jersey,"Ocean County, New Jersey"," 14,000 "
North Carolina,"Orange-Chatham Counties, North Carolina"," 13,000 "
Arizona,"Yuma County, Arizona"," 13,000 "
Utah,"Utah County, Utah"," 13,000 "
Maryland,"Anne Arundel County, Maryland"," 13,000 "
Florida,"Duval-Nassau Counties, Florida"," 13,000 "
Michigan,"Kent County, Michigan"," 13,000 "
Alabama,"Jefferson County, Alabama"," 13,000 "
Kansas,"Johnson County, Kansas"," 12,000 "
Kansas,"Sedgwick-Butler-Harvey Counties, Kansas"," 12,000 "
California,"Yolo County, California"," 12,000 "
Florida,"Manatee County, Florida"," 12,000 "
Massachusetts,"Worcester Area NECTA*, Massachusetts"," 12,000 "
New Jersey,"Atlantic County, New Jersey"," 12,000 "
Kentucky,"Jefferson County, Kentucky"," 12,000 "
New York,"Orange County, New York"," 12,000 "
California,"Napa County, California"," 12,000 "
Missouri,"St. Louis County, Missouri"," 12,000 "
Texas,"Williamson County, Texas"," 12,000 "
South Carolina,"Beaufort-Jasper Counties, South Carolina"," 12,000 "
New Mexico,"Doña Ana County, New Mexico"," 12,000 "
Kentucky,"Fayette County, Kentucky"," 12,000 "
Iowa,"Polk County, Iowa"," 11,000 "
Kansas,"Wyandotte County, Kansas"," 11,000 "
Maryland,"Howard County, Maryland"," 11,000 "
Arkansas,"Benton County, Arkansas"," 11,000 "
Colorado,"El Paso County, Colorado"," 11,000 "
Florida,"Osceola County, Florida"," 11,000 "
Arizona,"Pinal County, Arizona"," 11,000 "
Virginia,"Henrico County, Virginia"," 11,000 "
Arkansas,"Washington County, Arkansas"," 11,000 "
Ohio,"Hamilton County, Ohio"," 10,000 "
Wisconsin,"Dane County, Wisconsin"," 10,000 "
Texas,"Brazoria County, Texas"," 10,000 "
California,"San Luis Obispo County, California"," 10,000 "
Tennessee,"Knox-Anderson-Union Counties, Tennessee"," 10,000 "
South Carolina,"Horry County, South Carolina"," 10,000 "
